word,meaning,meaning_vi,phonetics,note,example,type,level
wear,"to have something on your body as a piece of clothing, a decoration, etc.","mang, đeo; mặc; để (râu, tóc); đội (mũ)",/weə(r)/,"to have something on your body as a piece of clothing, a decoration, etc.",He was wearing a new T-shirt.,verb,A1
weather,"the condition of the atmosphere at a particular place and time, such as the temperature, and if there is wind, rain, sun, etc.",thời tiết,/ˈweðə(r)/,"the condition of the atmosphere at a particular place and time, such as the temperature, and if there is wind, rain, sun, etc.",The weather today is absolutely perfect.,noun,A1
website,"a set of pages on the internet, where a company or an organization, or an individual person, puts information",trang web,/ˈwebsaɪt/,"a set of pages on the internet, where a company or an organization, or an individual person, puts information",I found the recipe for this delicious cake on a cooking website.,noun,A1
week,"a period of seven days, either from Monday to Sunday or from Sunday to Saturday","tuần lễ, tuần",/wiːk/,"a period of seven days, either from Monday to Sunday or from Sunday to Saturday",I'm going on vacation next week and I can't wait!,noun,A1
weekend,Saturday and Sunday,cuối tuần (thứ bảy và chủ nhật),/ˌwiːkˈend/,Saturday and Sunday,I usually spend my weekends relaxing at home or hanging out with friends.,noun,A1
welcome,used as a greeting to tell somebody that you are pleased that they are there,"hoan nghênh, chào mừng",/ˈwelkəm/,used as a greeting to tell somebody that you are pleased that they are there,Welcome to New York!,exclamation,A1
well,"in a good way, to a high or satisfactory standard","tốt, giỏi, hay",/wel/,"in a good way, to a high or satisfactory standard",The documentary presented both sides of the problem very well.,adverb,A1
white,having the colour of fresh snow or of milk,"trắng, bạch, bạc",/waɪt/,having the colour of fresh snow or of milk,She wore a beautiful white dress to her wedding.,adjective,A1
wife,the woman that somebody is married to; a married woman,vợ,/waɪf/,the woman that somebody is married to; a married woman,I met my wife at university.,noun,A1
win,"to be the most successful in a competition, race, battle, etc.","thắng, chiến thắng",/wɪn/,"to be the most successful in a competition, race, battle, etc.","If we work hard, we can win the game tomorrow.",verb,A1
window,"an opening in the wall or roof of a building, car, etc., usually covered with glass, that allows light and air to come in and people to see out; the glass in a window",cửa sổ,/ˈwɪndəʊ/,"an opening in the wall or roof of a building, car, etc., usually covered with glass, that allows light and air to come in and people to see out; the glass in a window",She looked out of the window.,noun,A1
wine,an alcoholic drink made from the juice of grapes that has been left to ferment. There are many different kinds of wine.,"rượu vang, rượu",/waɪn/,an alcoholic drink made from the juice of grapes that has been left to ferment. There are many different kinds of wine.,I like to enjoy a glass of red wine with my dinner.,noun,A1
winter,"the coldest season of the year, between autumn and spring",mùa đông,/ˈwɪntə(r)/,"the coldest season of the year, between autumn and spring",I love to drink hot cocoa and read a book by the fire during the winter months.,noun,A1
with,in the company or presence of somebody/something,"với, cùng với",/wɪð/ /wɪθ/,in the company or presence of somebody/something,She lives with her parents.,preposition,A1
without,"not having, experiencing or showing something","không có, thiếu",/wɪˈðaʊt/,"not having, experiencing or showing something",They had gone two days without food.,preposition,A1
woman,an adult female human,"(một người) đàn bà, phụ nữ",/ˈwʊmən/,an adult female human,The woman who works at the bookstore recommended a great novel to me.,noun,A1
wonderful,"very good, pleasant or a lot of fun","kỳ diệu, thần kỳ; rất đáng ngạc nhiên, tuyệt vời",/ˈwʌndəfl/,"very good, pleasant or a lot of fun",This is a wonderful opportunity to invest in new markets.,adjective,A1
word,a single unit of language that means something and can be spoken or written,từ,/wɜːd/,a single unit of language that means something and can be spoken or written,Do not write more than 200 words!,noun,A1
work,"to do something that involves physical or mental effort, especially as part of a job",làm việc,/wɜːk/,"to do something that involves physical or mental effort, especially as part of a job",I can't work if I'm cold.,verb,A1
worker,"a person who works, especially one who does a particular kind of work",công nhân,/ˈwɜːkə(r)/,"a person who works, especially one who does a particular kind of work",My uncle is a factory worker.,noun,A1
world,"the earth, with all its countries, peoples and natural features",thế giới,/wɜːld/,"the earth, with all its countries, peoples and natural features",There are so many beautiful places in the world that I would love to visit someday.,noun,A1
would,used in polite offers or invitations,"(dùng để đưa ra một lời mời) có muốn, có cần",/wʊd/ /wəd/ /əd/,used in polite offers or invitations,Would you like a sandwich?,modal verb,A1
write,"to make letters or numbers on a surface, especially using a pen or a pencil",viết,/raɪt/,"to make letters or numbers on a surface, especially using a pen or a pencil",In some countries children don't start learning to read and write until they are six.,verb,A1
writer,"a person whose job is writing books, stories, articles, etc.",nhà văn; tác giả,/ˈraɪtə(r)/,"a person whose job is writing books, stories, articles, etc.",Who's your favourite writer?,noun,A1
writing,"the activity of writing, in contrast to reading, speaking, etc.",sự viết,/ˈraɪtɪŋ/,"the activity of writing, in contrast to reading, speaking, etc.",Our son’s having problems with his reading and writing at school.,noun,A1
wrong,not right or correct,sai,/rɒŋ/,not right or correct,I got all the answers wrong.,adjective,A1
year,"the period from 1 January to 31 December, that is 365 or 366 days, divided into 12 months",năm,/jɪə(r)/ /jɜː(r)/,"the period from 1 January to 31 December, that is 365 or 366 days, divided into 12 months",Elections take place every year.,noun,A1
yesterday,on the day before today,hôm qua,/ˈjestədeɪ/ /ˈjestədi/,on the day before today,A company spokeswoman said yesterday that no final decision had been made yet.,adverb,A1
young,having lived or existed for only a short time; not fully developed,"trẻ tuổi, trẻ",/jʌŋ/,having lived or existed for only a short time; not fully developed,"The young girl skipped happily through the meadow, enjoying the warmth of the sun on her face.",adjective,A1
yourself,used when the person or people being spoken to both cause and are affected by an action,"tự bản thân bạn, chính bạn",/jɔːˈself/ /jəˈself/,used when the person or people being spoken to both cause and are affected by an action,Have you hurt yourself?,pronoun,A1
can,"used to say that it is possible for somebody/something to do something, or for something to happen",có thể,/kæn/ /kən/,"used to say that it is possible for somebody/something to do something, or for something to happen",I can run fast.,modal verb,A1
